Id,"Uma frase diz: ""Grandes mudanças começam com pequenos passos."" que isso quer dizer?","""Quem aprende a ouvir, aprende a entender."" principal ensinamento dessa frase é:","Se uma história começa dizendo ""Num vilarejo distante, as pessoas trabalhavam juntas para vencer desafios"", qual é a mensagem principal?","""A curiosidade é o motor da descoberta."" Isso significa que:","Quando lemos: ""Nem todo herói usa capa"", entendemos que:",Um colega tem dificuldade para entender o conteúdo. Você:,"Se você discorda de alguém, o melhor a fazer é:","Se um colega for novo na turma, o que seria mais correto fazer?",Você vê alguém sofrendo bullying. A melhor atitude é:,Um amigo seu esqueceu o material em casa. Você:,"Se dois caminhos levam ao mesmo lugar, mas um é mais longo e perigoso, o que é mais lógico fazer?","Se você precisa entregar uma tarefa amanhã e ainda não começou, o melhor é:","Se uma lâmpada acende apenas às vezes, o que você deve pensar primeiro?","Se uma receita de bolo pede 2 ovos, mas você só tem 1, o que pode ser feito?",Você precisa decidir entre estudar para a prova ou sair com amigos. O que é mais responsável?,"Quando você erra em alguma coisa, a melhor atitude é:",A melhor forma de melhorar em algo que você não entende bem é:,Ter responsabilidade significa:,"Para conquistar um objetivo difícil, é importante:",O que é mais importante para crescer como pessoa?
11,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
12,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
13,(B) Pequenas ações podem gerar grandes mudanças.,(E) Aprender é mais difícil do que entender.,A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Voltar para casa.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
14,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
15,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
16,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Tira sarro.,Escolher o mais perigoso para se aventurar.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
17,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
18,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
19,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
20,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
21,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
22,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
23,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
24,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
25,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
26,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Insistir até vencer a discussão.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais perigoso para se aventurar.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
27,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
28,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Deixar para depois.,A lâmpada pode estar queimada ou com mau contato.,Desistir de fazer o bolo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
29,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Insistir até vencer a discussão.,Ignorar.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Reclamar da tarefa.,A casa está mal-assombrada.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Esperar melhorar sozinho.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
30,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
31,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
32,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
33,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A casa está mal-assombrada.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
34,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
35,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
36,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
37,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Desistir de fazer o bolo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
38,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
39,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
40,(B) Pequenas ações podem gerar grandes mudanças.,"(D) Saber ouvir ajuda na compreensão,",A união ajuda a superar dificuldades.,A curiosidade leva a novas descobertas.,A aparência não define um herói.,Oferece ajuda.,Ouvir com respeito.,Receber bem e apresentar aos outros.,Procurar um adulto ou professor.,Empresta o que puder.,Escolher o mais seguro e rápido.,Organizar o tempo e começar agora.,A lâmpada pode estar queimada ou com mau contato.,Tentar adaptar ou buscar outro ovo.,Priorizar o estudo e sair depois.,Aprender com o erro.,Continuar praticando e estudando.,Cuidar das suas ações e cumprir deveres.,Trabalhar duro e ser paciente.,Aceitar erros e buscar melhorar.
